date,exercise_name,set_number,reps,weight,notes
2026-05-24,Back Squat,1,5,165.0,
2026-05-24,Back Squat,2,5,165.0,
2026-05-24,Back Squat,3,5,165.0,
2026-05-24,Back Squat,4,3,170.0,
2026-05-24,Pull-Up,1,8,0.0,
2026-05-24,Pull-Up,2,6,0.0,
2026-05-28,Back Squat,1,5,170.0,
2026-05-28,Back Squat,2,5,170.0,
2026-05-28,Back Squat,3,5,170.0,
2026-05-28,Back Squat,4,3,175.0,
2026-05-28,Pull-Up,1,8,0.0,
2026-05-28,Pull-Up,2,7,0.0,
2026-06-01,Back Squat,1,5,175.0,
2026-06-01,Back Squat,2,5,175.0,
2026-06-01,Back Squat,3,5,175.0,
2026-06-01,Back Squat,4,3,180.0,
2026-06-01,Pull-Up,1,9,0.0,
2026-06-01,Pull-Up,2,7,0.0,
2026-06-04,Back Squat,1,5,175.0,
2026-06-04,Back Squat,2,5,175.0,
2026-06-04,Back Squat,3,5,175.0,
2026-06-04,Back Squat,4,3,180.0,plateau week
2026-06-08,Back Squat,1,5,180.0,
2026-06-08,Back Squat,2,5,180.0,
2026-06-08,Back Squat,3,5,180.0,
2026-06-08,Back Squat,4,3,185.0,
2026-06-08,Pull-Up,1,9,0.0,
2026-06-08,Pull-Up,2,8,0.0,
2026-06-11,Back Squat,1,5,180.0,
2026-06-11,Back Squat,2,5,180.0,
2026-06-11,Back Squat,3,5,180.0,
2026-06-11,Back Squat,4,3,185.0,plateau week
2026-06-11,Pull-Up,1,10,0.0,
2026-06-11,Pull-Up,2,8,0.0,
2026-06-15,Back Squat,1,5,182.5,
2026-06-15,Back Squat,2,5,182.5,
2026-06-15,Back Squat,3,3,187.5,
2026-06-15,Pull-Up,1,10,0.0,
2026-06-15,Pull-Up,2,9,0.0,
2026-06-21,Back Squat,1,5,185.0,felt strong
2026-06-21,Back Squat,2,5,185.0,
2026-06-21,Back Squat,3,3,190.0,grinder
2026-06-21,Bench Press,1,8,135.0,good speed
2026-06-21,Pull-Up,1,8,0.0,
2026-06-21,Pull-Up,2,6,0.0,
2026-06-25,Back Squat,1,5,190.0,
2026-06-25,Back Squat,2,5,190.0,
2026-06-25,Back Squat,3,5,190.0,
2026-06-25,Back Squat,4,3,195.0,new PR
2026-06-25,Pull-Up,1,10,0.0,
2026-06-25,Pull-Up,2,9,0.0,
2026-06-25,Pull-Up,3,7,0.0,
